url,score,totalLinks,workingLinks,brokenLinks,brokenWhatsapp,brokenPhones,brokenEmails,type
"https://iitianspace.com",0,80,66,14,"","0222061779777 | 0222028985577 | 0222028985578 | 02227720152 | 932442013072 | 900432012557 | 0251231833 | 91208097730729 | 07777001851 | 777702068480 | 905992068480 | 0832202463511 | 06542232031 | 06542203041","",broken
"https://www.akglobaldent.com",0,19,14,5,"","01244846910 | 01244469779 | 01244846910 | 01244846910 | 01244469779","",broken
"https://surattextilehub.com",0,8,3,5,"https://api.whatsapp.com/send?phone=+918238250006&amp;text= | https://api.whatsapp.com/send?phone=+919558194180&amp;text= | https://api.whatsapp.com/send?phone=+918238261610&amp;text= | https://api.whatsapp.com/send?phone=+918238250006&amp;text=Hello | https://api.whatsapp.com/send?phone=+91","","",broken
"https://mozartrealty.in",30,13,10,3,"https://api.whatsapp.com/send?phone=+919910597836&text=Hello, | https://wa.me/+919910597836","91209919975028","",broken
"https://vivaandentalclinic.com",30,15,12,3,"http://wa.me/+918901518135 | https://wa.me/+918901518135","9120890152018135","",broken
"https://kgrnaudit.com",35,10,7,3,"https://wa.me/971545864906","97145570204 | 97145570204","",broken
"https://jainanuragassociates.com",35,11,8,3,"https://api.whatsapp.com/send?phone=+919322949820&amp;text=Looking","912241271751 | 912241271751","",broken
"https://udaipurtravelagent.com",40,5,2,3,"","911234567890 | 91123456789 | 91123456789","",broken
"https://littlebigkitchen.com",60,5,3,2,"","08764050000 | 08764050000","",broken
"https://www.hycinthhotels.com",60,4,2,2,"","04716662999 | 914716662999","",broken
"https://goatravelcompany.com",55,11,9,2,"https://wa.me/+917018537498","91208091333638","",broken
"https://travelstop.in",60,9,7,2,"","912634230555 | 912612786305","",broken
"https://jaipurkurti.com",60,6,4,2,"","91209314966969 | 91208078678116","",broken
"https://parthdentalclinic.com",60,3,1,2,"","0924731000020 | 09247310000","",broken
"https://www.coimbatoretourstravels.com",55,7,5,2,"https://wa.me/+919566655435?text=Hello%20Coimbatore%20Tours%20%26%20Travels%2C%20I%20need%20Your%20Service%3F","04224348233","",broken
"https://www.rentcaragra.com",50,14,12,2,"http://wa.me/+918433097793 | https://wa.me/message/BM4UCL7IVCCSJ1","","",broken
"https://www.fotosstudio.co.in",50,20,18,2,"https://wa.me/message/FAKNKOO6FWKCP1 | https://wa.me/917860872978&quot;","","",broken
"https://akshayaindia.com",60,5,3,2,"","914444117575 | 91444117575","",broken
"https://nitsaholidays.in",50,8,6,2,"https://api.whatsapp.com/send?phone=+918585999958&text= | https://api.whatsapp.com/send?phone=+918585999958&amp;text=","","",broken
"https://glamordesigns.in",55,7,5,2,"https://wa.me/message/NFLUBGZZXNFPI1","07350310474","",broken
"https://www.beyondthecore.in",55,17,15,2,"https://wa.me/+919896150965","98765432122","",broken
"https://cagnassociates.com",55,9,7,2,"https://api.whatsapp.com/send?phone=+917300408901&amp;text=Hi","911414038528","",broken
"https://neetcoachingmumbai.com",80,9,8,1,"","209324475566","",broken
"https://www.arunexcello.com",80,9,8,1,"","914428412841","",broken
"https://www.mallubroker.com",75,6,5,1,"https://wa.me/+918891221919?text=Hi","","",broken
"https://guptadentalclinic.com",80,14,13,1,"","911244270224","",broken
"https://healthspaceclinic.com",80,3,2,1,"","02223631543","",broken
"https://www.thehairbooksalon.com",75,6,5,1,"https://wa.me/963417xxxx","","",broken
"https://thebeautystation.in",75,7,6,1,"https://api.whatsapp.com/send?phone=+919026517635&#038;text=Hi,%20I%20just%20visited%20your%20website.%20Can%20you%20provide%20me%20more%20details%20about%20your%20services?","","",broken
"https://shenmesalon.com",75,13,12,1,"https://api.whatsapp.com/send?phone=+918429021804&amp;text=Hello%2C+She+N+Me+Salon+%21","","",broken
"https://chattelsdesign.com",75,10,9,1,"https://wa.me/61499281839&text=Hello%2C%20World!","","",broken
